car_name,price,year,engine,mileage,valyuta,exchange_rate
Hyundai Sonata,15800,2014,2.4,50700,$,1.70
Hyundai Sonata,18899,2010,2.4,162100,AZN,1.00
Hyundai Sonata,15800,2014,2.4,50700,$,1.70
Hyundai Sonata,23500,2013,2.0,72000,AZN,1.00
Hyundai Sonata,21800,2012,2.0,83256,AZN,1.00
Hyundai Sonata,17900,2010,2.4,96800,AZN,1.00
Hyundai Sonata,18500,2010,2.0,133000,AZN,1.00
Hyundai Sonata,17900,2009,2.4,96000,AZN,1.00
Hyundai Sonata,15400,2007,2.4,220000,AZN,1.00
Hyundai Sonata,21800,2010,2.4,156000,AZN,1.00
Hyundai Sonata,24500,2013,2.0,51000,AZN,1.00
Hyundai Sonata,25500,2015,2.0,64470,AZN,1.00
Hyundai Sonata,22500,2012,2.4,144253,AZN,1.00
Hyundai Sonata,19800,2014,2.0,31000,$,1.70
Hyundai Sonata,18400,2010,2.4,82600,AZN,1.00
Hyundai Sonata,14000,2005,3.3,194000,AZN,1.00
Hyundai Sonata,24600,2017,2.0,23400,$,1.70
Hyundai Sonata,18000,2009,2.4,164000,AZN,1.00
Hyundai Sonata,24900,2014,2.4,72000,AZN,1.00
Hyundai Sonata,15400,2007,2.4,193000,AZN,1.00
Hyundai Sonata,9300,2006,2.4,245000,AZN,1.00
Hyundai Sonata,13850,2007,2.0,195322,AZN,1.00
Hyundai Sonata,15700,2008,2.4,86000,AZN,1.00
Hyundai Sonata,19700,2010,2.0,140000,AZN,1.00
Hyundai Sonata,15000,2006,3.3,35000,AZN,1.00
Hyundai Sonata,27500,2016,2.4,47500,AZN,1.00
Hyundai Sonata,22500,2012,0.2,64000,AZN,1.00
Hyundai Sonata,23900,2012,2.0,44000,AZN,1.00
Hyundai Sonata,16400,2008,2.0,168000,AZN,1.00
Hyundai Sonata,24000,2012,2.4,132453,AZN,1.00
Hyundai Sonata,4300,1998,2.0,333700,AZN,1.00
Hyundai Sonata,4300,1998,2.0,333700,AZN,1.00
Hyundai Sonata,22900,2015,2.4,36000,AZN,1.00
Hyundai Sonata,8500,2013,2.0,104000,AZN,1.00
Hyundai Sonata,4700,1998,2.0,260000,AZN,1.00
Hyundai Sonata,9000,1997,1.8,389900,AZN,1.00
Hyundai Sonata,4500,1994,1.6,310000,AZN,1.00
Hyundai Sonata,22000,2010,2.4,140000,AZN,1.00
Hyundai Sonata,21800,2010,2.4,139000,AZN,1.00
Hyundai Sonata,22700,2010,2.4,135000,AZN,1.00
Hyundai Sonata,22700,2010,2.4,135000,AZN,1.00
Hyundai Sonata,13800,2010,2.4,160000,AZN,1.00
Hyundai Sonata,19900,2015,2.0,70000,$,1.70
Hyundai Sonata,19900,2015,2.0,70000,$,1.70
Hyundai Sonata,20700,2015,2.0,96000,$,1.70
Hyundai Sonata,20700,2015,2.0,96000,$,1.70
Hyundai Sonata,22900,2012,2.0,45000,AZN,1.00
Hyundai Sonata,8000,2003,2.0,317000,AZN,1.00
Hyundai Sonata,8000,2003,2.0,317000,AZN,1.00
Hyundai Sonata,24000,2017,2.0,23400,$,1.70
Hyundai Sonata,24000,2017,2.0,23400,$,1.70
Hyundai Sonata,18300,2008,2.4,168000,AZN,1.00
Hyundai Sonata,18300,2008,2.4,168000,AZN,1.00
Hyundai Sonata,20000,2014,2.0,42000,$,1.70
Hyundai Sonata,17700,2016,2.4,22230,$,1.70
Hyundai Sonata,17700,2016,2.4,22230,$,1.70
Hyundai Sonata,17700,2016,2.4,22230,$,1.70
Hyundai Sonata,17500,2008,2.4,104000,AZN,1.00
Hyundai Sonata,17500,2008,2.4,104000,AZN,1.00
Hyundai Sonata,24700,2017,2.4,24000,$,1.70
Hyundai Sonata,5400,1993,2.8,256000,AZN,1.00
